tag,assignment_count,artist_count,sample_artists
chef musinum,30,29,Hans Zimmer; Akira Yamaoka; Clint Mansell; John Williams; Howard Shore; Alexandre Desplat; Danny Elfman; Emilie Simon
country rock,30,29,Carrie Underwood; Johnny Cash; Eagles; The Decemberists; Miranda Lambert; Garth Brooks; Brooks & Dunn; Toby Keith
deep house,30,27,Everything but the Girl; Gus Gus; Kaskade; Junior Boys; Roy Ayers; David Vendetta; Jody Watley; Señor Coconut
dream,30,29,Moby; Air; Röyksopp; M83; Enigma; Silverchair; Telefon Tel Aviv; Ennio Morricone
female artists,30,26,Katy Perry; Madonna; Avril Lavigne; Beyoncé; P!nk; Kylie Minogue; Kelly Clarkson; Björk
good mood songs,30,29,Avril Lavigne; Amy Winehouse; Nelly Furtado; Gwen Stefani; Justin Timberlake; Alanis Morissette; Snow Patrol; Spice Girls
hiphop,30,29,Eminem; Jay-Z; 50 Cent; Cypress Hill; Mos Def; Mobb Deep; D12; Ice Cube
humor,30,30,"Eminem; Kanye West; Brad Paisley; ""Weird Al"" Yankovic; Ludacris; Raekwon; Royce da 5'9""; Flight of the Conchords"
lostfreeq,30,29,Hans Zimmer; Akira Yamaoka; Clint Mansell; John Williams; Howard Shore; Alexandre Desplat; Emilie Simon; Vangelis
mistagged track,30,30,System of a Down; Massive Attack; The Knife; Róisín Murphy; DJ Shadow; Telefon Tel Aviv; Four Tet; Bola
pastel,30,30,Sigur Rós; Air; Boards of Canada; Explosions in the Sky; Bat for Lashes; The Mars Volta; God Is an Astronaut; M83
the pedofinder general,30,30,Coldplay; The Killers; Oasis; U2; New Order; The Cranberries; Travis; Manic Street Preachers
todaysart,30,29,Miles Davis; Ólafur Arnalds; Can; The Orb; Biosphere; Dabrye; Actress; Legowelt
wtf,30,30,The Beatles; Michael Jackson; Queen; Elvis Presley; ABBA; Spice Girls; The Beach Boys; Paul McCartney
1990s,29,28,The Beatles; Madonna; Christina Aguilera; Michael Jackson; Metallica; Iron Maiden; Björk; Pearl Jam
anarchist,29,27,Godspeed You! Black Emperor; A Silver Mt. Zion; Crass; Refused; Atari Teenage Riot; Discharge; Chumbawamba; Georges Brassens
beast,29,29,Metallica; Eminem; Lil' Wayne; Calvin Harris; Nas; Wu-Tang Clan; Ghostface Killah; Ludacris
british punk,29,24,The Clash; Siouxsie and the Banshees; Sex Pistols; Wire; The Stranglers; The Jam; Buzzcocks; The Fall
dance - trance,29,29,Madonna; Depeche Mode; Daft Punk; Pet Shop Boys; Goldfrapp; Cascada; Aphex Twin; George Michael
deepclash,29,26,Kraftwerk; deadmau5; Fischerspooner; Trentemøller; Paul Kalkbrenner; Booka Shade; Vibrasphere; Mr. Oizo
dope cut,29,28,Eminem; Kanye West; Jay-Z; Kelly Rowland; Nas; Ghostface Killah; Trey Songz; D12
ezbeni,29,29,Yann Tiersen; Dead Can Dance; Blackmore's Night; Loreena McKennitt; Kitaro; Şebnem Ferah; Azam Ali; A.R. Rahman
holiday soundtrack,29,29,Lady Gaga; Britney Spears; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Miley Cyrus; Taylor Swift
kickass,29,29,The Beatles; Katy Perry; Christina Aguilera; Taylor Swift; Amy Winehouse; U2; Alanis Morissette; The Kooks
late night tunes,29,29,Muse; Depeche Mode; Pink Floyd; Guns N' Roses; Daft Punk; Black Sabbath; Deep Purple; Ozzy Osbourne
light trip-hop,29,29,Goldfrapp; Lykke Li; Emilie Simon; Shpongle; Emilíana Torrini; Parov Stelar; Blank & Jones; Lovage
makes me wanna dance,29,29,Britney Spears; Rihanna; Madonna; Christina Aguilera; Shakira; Kylie Minogue; Michael Jackson; Nelly Furtado
new beat,29,29,Hans Zimmer; Akira Yamaoka; Clint Mansell; John Williams; Howard Shore; Alexandre Desplat; Danny Elfman; Emilie Simon
nintendocore,29,17,Enter Shikari; HORSE the band; I See Stars; Sabrepulse; Preschool Tea Party Massacre; Dungeon Elite [**]; :(; Karate High School
perfection,29,28,Madonna; Christina Aguilera; Muse; The Killers; Kylie Minogue; Eminem; Daft Punk; Nine Inch Nails
politeconomist realife soundtrack,29,29,The Beatles; Amy Winehouse; Bob Dylan; Jessica Simpson; Cazuza; Leonard Cohen; James Brown; Dusty Springfield
psychosis,29,29,The Police; Miles Davis; Talk Talk; Nick Cave and the Bad Seeds; Ennio Morricone; The Stooges; Cabaret Voltaire; Scott Walker
rock en espanol,29,22,Shakira; Soda Stereo; Juanes; La Oreja de Van Gogh; Enrique Bunbury; Maná; Café Tacuba; Fito Páez
synthpop artists,29,29,Depeche Mode; a-ha; Pet Shop Boys; Erasure; The Human League; Orchestral Manoeuvres in the Dark; Gary Numan; Eurythmics
transport,29,29,The Clash; Bloc Party; Goldfrapp; The Beach Boys; Audioslave; Kraftwerk; Dire Straits; Lenny Kravitz
witch house,29,22,Rihanna; Fever Ray; Visage; Angelo Badalamenti; Modeselektor; Messer Chups; Baths; Salem
zadrotstvo,29,29,Joy Division; Duran Duran; OneRepublic; Travis; Tears for Fears; The Human League; Martin L. Gore; Ultravox
1967,28,28,The Rolling Stones; The Who; The Kinks; The Jimi Hendrix Experience; Aretha Franklin; The Yardbirds; Leonard Cohen; Jefferson Airplane
1981 songs,28,27,Depeche Mode; Duran Duran; The Police; Kraftwerk; The Human League; Gary Numan; Simple Minds; Ultravox
2000s,28,28,Lady Gaga; Britney Spears; Madonna; Christina Aguilera; Michael Jackson; Taylor Swift; U2; Hilary Duff
2005,28,28,Rihanna; Coldplay; Black Eyed Peas; Kelly Clarkson; The Pussycat Dolls; Eminem; Lindsay Lohan; Gorillaz
banger,28,28,Eminem; Aerosmith; Lil' Wayne; 50 Cent; 2Pac; Wu-Tang Clan; Ghostface Killah; Trey Songz
bebop,28,15,Miles Davis; John Coltrane; Thelonious Monk; Charlie Parker; Duke Ellington; Charles Mingus; Wes Montgomery; Sonny Rollins
breakbeat,28,24,The Prodigy; The Chemical Brothers; Recoil; UNKLE; Amon Tobin; Venetian Snares; The Flashbulb; Four Tet
dancehall,28,23,Rihanna; M.I.A.; Santigold; Sean Paul; Damian Marley; Vavamuffin; Buju Banton; Stromae
freestyle,28,28,"Linkin Park; Eminem; Lil' Wayne; 50 Cent; Trey Songz; Ludacris; Busta Rhymes; Royce da 5'9"""
house music,28,27,Rihanna; The Pussycat Dolls; Whitney Houston; Ace of Base; Edward Maya; Skunk Anansie; Bob Sinclar; Agnetha Fältskog
i want to dance in my underwear,28,28,Arctic Monkeys; Franz Ferdinand; Björk; Panic! At the Disco; Kanye West; Mika; The Fratellis; Editors
ill,28,28,Lady Gaga; Eminem; Usher; Jay-Z; Nas; Mobb Deep; Ludacris; Ice Cube
minimal techno,28,21,Gui Boratto; SCSI-9; Extrawelt; Richie Hawtin; Pantha du Prince; Alex Smoke; Mathew Jonson; Âme
ottoman,28,27,Mehmet Emin Ay; Mahmut Durgun; Saud Al-Shuraim; Abdelbasset Mohamed Abdessamad; Ismail Bülbül; Emin Isak; Cheikh Abdulbasset Abdussamad; Osman Murat Tuğsuz
progressive house,28,22,Calvin Harris; ATB; deadmau5; Faithless; Underworld; Orbital; Paul van Dyk; Eric Prydz
riot grrl,28,28,Amy Winehouse; Björk; Garbage; Natasha Bedingfield; Kate Nash; Duffy; Feist; Cat Power
symphonic prog,28,23,"Genesis; Camel; Yes; Kansas; Uriah Heep; Emerson, Lake & Palmer; Spock's Beard; Van der Graaf Generator"
1964,27,27,The Rolling Stones; Elvis Presley; The Beach Boys; The Kinks; The Yardbirds; Chuck Berry; Louis Armstrong; The Animals
1982 songs,27,27,Michael Jackson; Duran Duran; Gary Numan; Simple Minds; Ultravox; Yazoo; Talk Talk; Roxy Music
1983 songs,27,27,Depeche Mode; Duran Duran; New Order; The Police; The Human League; Gary Numan; Eurythmics; Yazoo
beatdown,27,18,Envy; Death Before Dishonor; Nasty; Your Demise; Bury Your Dead; In Blood We Trust; American Me; For My Enemy
best songs of the 90s,27,27,Michael Jackson; Nirvana; Foo Fighters; Pearl Jam; R.E.M.; Eric Clapton; INXS; Echo & The Bunnymen
bouncy,27,26,Avril Lavigne; Paramore; Green Day; Kings of Leon; Foo Fighters; Fall Out Boy; Korn; Sum 41
crossover,27,16,Slipknot; Sarah Brightman; Dead by April; Guano Apes; Municipal Waste; D.R.I.; Lao Che; Suicidal Tendencies
dance 00s,27,27,Lady Gaga; Britney Spears; Cascada; Wanessa; Ace of Base; Groove Coverage; Aqua; Lasgo
dnb,27,23,Bring Me The Horizon; Pendulum; deadmau5; Chase & Status; µ-Ziq; Noisia; The Qemists; Asian Dub Foundation
dutch,27,20,Within Temptation; Armin van Buuren; The Gathering; Ferry Corsten; Grendel; After Forever; Shocking Blue; Anouk
funky,27,26,Lady Gaga; Michael Jackson; The Cure; Maroon 5; Mika; Janet Jackson; Beck; John Mayer
good,27,26,Britney Spears; Katy Perry; Paramore; Nirvana; Ashley Tisdale; Simple Plan; Boys Like Girls; All Time Low
great memories with my geeem,27,27,Paramore; Miley Cyrus; Kelly Clarkson; Ashley Tisdale; Gwen Stefani; Alanis Morissette; The Veronicas; Lindsay Lohan
harsh ebm,27,22,Hocico; Grendel; Suicide Commando; Unter Null; Psyclon Nine; Tactical Sekt; Dawn of Ashes; Wynardtage
italian progressive rock,27,24,Premiata Forneria Marconi; Le Orme; Celeste; Biglietto per l'Inferno; Osanna; Il Rovescio della Medaglia; Jumbo; Metamorfosi
lastfm,27,27,Sonic Youth; My Bloody Valentine; Tenacious D; Pavement; Yo La Tengo; Dinosaur Jr.; Guided by Voices; Screaming Trees
mean,27,26,Eminem; Jay-Z; Lil' Wayne; Nas; Lupe Fiasco; Ice Cube; Common; Lloyd Banks
mine,27,27,Christina Aguilera; Evanescence; 30 Seconds to Mars; Aerosmith; Garbage; Johnny Cash; Escape The Fate; Kerli
my indie friends,27,27,Eluvium; Deepspace; Anvil; Northcape; HealeyIsland; Angry Petunias; Krackatoa; Burrito
opera,27,16,Sarah Brightman; Josh Groban; Era; Andrea Bocelli; Freddie Mercury; Katherine Jenkins; Il Divo; Alessandro Safina
prog metal,27,23,Dream Theater; Pain of Salvation; Ayreon; Symphony X; Liquid Tension Experiment; Shadow Gallery; Evergrey; Behold... the Arctopus
raw,27,27,"Eminem; The Who; Wu-Tang Clan; Mobb Deep; Raekwon; Royce da 5'9""; Obie Trice; Fabolous"
russia,27,27,t.A.T.u.; Pet Shop Boys; Сплин; Агата Кристи; Кино; Психея; Би-2; Мумий Тролль
surf rock,27,18,Ramones; The Beach Boys; The Raveonettes; The Drums; The Turtles; Dick Dale; The Ventures; Southern Culture on the Skids
top100,27,27,The Cure; Red Hot Chili Peppers; Portishead; Jimi Hendrix; Mogwai; Jeff Buckley; Ludwig van Beethoven; Nick Drake
video game music,27,20,Akira Yamaoka; 植松伸夫; 近藤浩治; 下村陽子; The Black Mages; 光田康典; The Advantage; 岩代太郎
witty,27,26,"Eminem; Jay-Z; Lil' Wayne; Lupe Fiasco; Ghostface Killah; Mos Def; Common; Royce da 5'9"""
1965,26,26,The Rolling Stones; Elvis Presley; The Who; The Beach Boys; The Kinks; The Yardbirds; The Byrds; The Mamas & The Papas
1970's,26,26,Michael Jackson; Pink Floyd; Queen; ABBA; Blondie; Kraftwerk; George Harrison; Lou Reed
1990,26,26,Mariah Carey; Pantera; Dio; Poison; Cinderella; Luis Miguel; New Kids on the Block; The Black Crowes
amazing voice,26,22,Lady Gaga; Britney Spears; Katy Perry; Christina Aguilera; Beyoncé; Shakira; Kelly Clarkson; Taylor Swift
bitch,26,14,Lady Gaga; Britney Spears; Katy Perry; Madonna; Christina Aguilera; Ke$ha; Miley Cyrus; Adam Lambert
blitz playlist,26,26,David Bowie; The Velvet Underground; Orchestral Manoeuvres in the Dark; Ultravox; Talking Heads; Soft Cell; Japan; Roxy Music
dark disco,26,25,Michael Jackson; LCD Soundsystem; Soft Cell; Fischerspooner; Throbbing Gristle; Trentemøller; Yellow Magic Orchestra; Ellen Allien
flamenco,26,17,Alejandro Sanz; Gipsy Kings; Estopa; Rodrigo y Gabriela; Paco de Lucía; Chambao; Yasmin Levy; Jesse Cook
hoy tengo ganas de llorar,26,26,Sigur Rós; Death Cab for Cutie; Keane; The Smashing Pumpkins; Kaiser Chiefs; Lifehouse; Damien Rice; Band of Horses
minimalism,26,22,Sigur Rós; Yann Tiersen; Brian Eno; Philip Glass; Ludovico Einaudi; Erik Satie; Peter Broderick; Michael Nyman
numbers,26,26,David Bowie; Rammstein; Duran Duran; New Order; The White Stripes; Travis; Kraftwerk; Kate Bush
ogonj,26,26,Duran Duran; New Order; Modest Mouse; Kraftwerk; The Human League; Helloween; And One; Alphaville
post modern,26,26,Radiohead; Pink Floyd; Yann Tiersen; Explosions in the Sky; Enigma; Ólafur Arnalds; Hooverphonic; Emilie Simon
queen of pop,26,9,Lady Gaga; Britney Spears; Madonna; Kylie Minogue; Ashlee Simpson; Jessica Simpson; Geri Halliwell; Atomic Kitten
quirky,26,26,Katy Perry; Lily Allen; Björk; Gorillaz; Regina Spektor; M.I.A.; Tori Amos; Jason Mraz
sing along,26,26,Red Hot Chili Peppers; Cascada; Whitney Houston; Shania Twain; Wanessa; Ace of Base; Take That; Groove Coverage
summer time,26,26,Katy Perry; Shakira; Miley Cyrus; David Guetta; 3OH!3; Selena Gomez & the Scene; Maroon 5; Demi Lovato
top,26,26,Oasis; Iron Maiden; Black Sabbath; Pet Shop Boys; Judas Priest; Scorpions; Deep Purple; Motörhead
true norwegian black metal,26,18,Black Sabbath; Dimmu Borgir; Burzum; Immortal; Mayhem; Satyricon; Emperor; Gorgoroth
turkce,26,26,Angelo Badalamenti; Tarkan; Teoman; Barış Manço; Kardeş Türküler; Erkan Oğur; Yeni Türkü; Mustafa Sandal
viaje de egresados,26,26,Coldplay; Shakira; Black Eyed Peas; Green Day; The Pussycat Dolls; Franz Ferdinand; Hilary Duff; Foo Fighters
vocalista feminimo,26,26,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Christina Aguilera; Beyoncé; Ke$ha
wish list,26,26,System of a Down; Massive Attack; The Police; Bonobo; Iron & Wine; Frank Zappa; Plaid; Ella Fitzgerald
world fusion,26,26,Nile; عمر دياب; Chambao; Modus; Entheogenic; Hol Baumann; Nass Marrakech; Cordovero
1970s,25,24,Michael Jackson; Pink Floyd; Queen; ABBA; Blondie; Kraftwerk; George Harrison; Lou Reed
adult contemporary,25,25,Madonna; Florence + the Machine; Cher; Fleetwood Mac; Elton John; Genesis; Phil Collins; Hall & Oates
all time hit,25,25,Britney Spears; Whitney Houston; Wanessa; Ace of Base; Monrose; Aqua; Alcazar; Skunk Anansie
animals,25,25,Arctic Monkeys; The Cure; Marilyn Manson; Gorillaz; Blur; Tears for Fears; Fleet Foxes; Beastie Boys
assertive,25,24,Eminem; Jay-Z; Lil' Wayne; 2Pac; Nas; Mos Def; D12; Jedi Mind Tricks
best songs ever,25,23,Radiohead; Coldplay; Shakira; Depeche Mode; U2; Iron Maiden; Joy Division; Maroon 5
best songs of the 60s,25,25,The Velvet Underground; The Beach Boys; Janis Joplin; Simon & Garfunkel; Nina Simone; Santana; Van Morrison; Louis Armstrong
chicago blues,25,16,Howlin' Wolf; John Lee Hooker; Muddy Waters; Buddy Guy; Little Walter; Sonny Boy Williamson; Elmore James; Otis Rush
coisa de deus,25,25,Pink Floyd; Sigur Rós; Explosions in the Sky; Enigma; Clint Mansell; Jean-Michel Jarre; Godspeed You! Black Emperor; The Cinematic Orchestra
complete sentences,25,23,Rage Against the Machine; God Is an Astronaut; She Wants Revenge; Cute Is What We Aim For; We Are Scientists; Yo La Tengo; Godspeed You! Black Emperor; ...And You Will Know Us by the Trail of Dead
crunk,25,22,Madonna; Christina Aguilera; Beyoncé; The Pussycat Dolls; 3OH!3; Ciara; Janet Jackson; M.I.A.
danish,25,23,Mew; Alphabeat; Trentemøller; Medina; Blue Foundation; The Asteroids Galaxy Tour; Figurines; Spleen United
deathrock,25,17,Alien Sex Fiend; Christian Death; 45 Grave; Skeletal Family; Cinema Strange; Shadow Project; Specimen; Sex Gang Children
driving music,25,24,Muse; Iron Maiden; Daft Punk; Megadeth; Kaiser Chiefs; Van Halen; Faith No More; Rush
europe,25,25,Kylie Minogue; Depeche Mode; Queen; a-ha; Pet Shop Boys; George Michael; Eurythmics; Mylène Farmer
freak folk,25,18,Beirut; Sufjan Stevens; Animal Collective; Antony and the Johnsons; CocoRosie; Devendra Banhart; Joanna Newsom; Mumford & Sons
grime,25,20,M.I.A.; The Streets; Dizzee Rascal; Tinie Tempah; Zomby; Roll Deep; Distance; Skepta
guerilla,25,25,Linkin Park; Nirvana; Iron Maiden; Foo Fighters; Nine Inch Nails; Marilyn Manson; Pearl Jam; Queens of the Stone Age
harmonica,25,20,The Beatles; Led Zeppelin; Bob Dylan; Cream; Joe Satriani; Howlin' Wolf; John Lee Hooker; Muddy Waters
independent,25,25,"The John Butler Trio; Foetus; Murat Esmer; Phillip Boa & The Voodooclub; Jonathan Richman; ¡Forward, Russia!; Chickenhawk; This Et Al"
kelly rowland,25,24,Rihanna; Beyoncé; Michael Jackson; Jennifer Lopez; David Guetta; Justin Timberlake; Timbaland; Janet Jackson
modern country,25,22,Taylor Swift; Lady Antebellum; Brad Paisley; Keith Urban; Brooks & Dunn; Toby Keith; Jason Aldean; Kenny Chesney
monica,25,24,Rihanna; Beyoncé; Michael Jackson; Céline Dion; Kelly Rowland; Whitney Houston; Brandy; Toni Braxton
novelty,25,25,"The Beatles; Elvis Presley; ABBA; The Beach Boys; Paul McCartney; ""Weird Al"" Yankovic; Glenn Miller; Ringo Starr"
nu-jazz,25,18,Bonobo; The Cinematic Orchestra; Parov Stelar; Xploding Plastix; Red Snapper; Koop; Esbjörn Svensson Trio; Mr. Scruff
playlist,25,25,The Kooks; Kaiser Chiefs; Travis; Little Boots; White Lies; Lykke Li; Grizzly Bear; Passion Pit
powerful voice,25,25,Christina Aguilera; Florence + the Machine; Alanis Morissette; Nicole Scherzinger; Duffy; Carrie Underwood; Jessica Simpson; Cher
q sexy,25,25,Amy Winehouse; Björk; Panic! At the Disco; Massive Attack; Portishead; Goldfrapp; Feist; Sia
queen,25,13,Lady Gaga; Britney Spears; Katy Perry; Madonna; Christina Aguilera; Beyoncé; Kelly Clarkson; Queen
real hip-hop,25,25,Eminem; Jay-Z; Lil' Wayne; 2Pac; Nas; Lupe Fiasco; Raekwon; Common
surf,25,15,Jack Johnson; The Beach Boys; Dick Dale; Messer Chups; The Ventures; The Tornados; Pete Murray; Los Straitjackets
symphonic black metal,25,13,Cradle of Filth; Dimmu Borgir; Immortal; Anorexia Nervosa; ColdWorld; Shade Empire; Trail of Tears; Carach Angren
synthpop songs,25,25,Depeche Mode; New Order; a-ha; Pet Shop Boys; Erasure; The Human League; Gary Numan; Eurythmics
traditional,25,24,Various Artists; Cordel do Fogo Encantado; Balkan Beat Box; Sinéad O'Connor; Huun-Huur-Tu; Mariza; The Dubliners; Sema
black music 4 black ppl listened 2 by white hipsters,24,24,Nas; Wu-Tang Clan; The Roots; MF DOOM; Mos Def; Gang Starr; A Tribe Called Quest; De La Soul
bubba sparxxx,24,23,Madonna; Nelly Furtado; Ashlee Simpson; Timbaland; Jay-Z; M.I.A.; Keri Hilson; Kelly Rowland
crust,24,21,Kylesa; Boris; Darkthrone; Dr. Acula; Discharge; His Hero Is Gone; Tragedy; Fall of Efrafa
darkstep,24,19,Noisia; Current Value; Spor; Black Sun Empire; Limewax; Evol Intent; SPL; Technical Itch
dirty south,24,20,Keri Hilson; T.I.; Lil' Wayne; Flo Rida; Dr. Dre; OutKast; D12; Ludacris
divas,24,22,Madonna; Beyoncé; Kylie Minogue; Mariah Carey; Lindsay Lohan; Céline Dion; Sugababes; Cyndi Lauper
downbeat,24,23,Depeche Mode; Moby; Air; Sia; M83; Bonobo; Zero 7; The Stone Roses
drive,24,24,Britney Spears; Shakira; Taylor Swift; Hilary Duff; The Veronicas; Lindsay Lohan; Aerosmith; Natasha Bedingfield
drugs,24,24,Guns N' Roses; Duran Duran; Crystal Castles; R.E.M.; The Offspring; Alice in Chains; Kaiser Chiefs; Bright Eyes
eighties,24,23,Kylie Minogue; David Bowie; Duran Duran; Janet Jackson; ABBA; Paul McCartney; Kraftwerk; Bauhaus
favorite artists,24,24,Radiohead; Coldplay; Depeche Mode; Pink Floyd; Mariah Carey; Evanescence; Amy Winehouse; Nelly Furtado
fiya,24,24,"Eminem; Jay-Z; Lil' Wayne; 50 Cent; Nas; Gang Starr; Ludacris; Royce da 5'9"""
good stuff,24,24,Coldplay; Nirvana; Iron Maiden; Tool; Lacuna Coil; Anathema; Kelis; Metro Station
hecho en mexico,24,24,Julieta Venegas; Belanova; Luis Miguel; Zoé; Camila; Maná; Moenia; Café Tacuba
hooooooooot,24,24,Jennifer Lopez; Ashlee Simpson; Nicole Scherzinger; RBD; Jesse McCartney; Ana Carolina; Anastacia; *NSYNC
james bond,24,16,Madonna; Duran Duran; a-ha; Garbage; Paul McCartney; Sheryl Crow; Chris Cornell; Louis Armstrong
male vocals,24,23,Pink Floyd; Green Day; Led Zeppelin; Iron Maiden; blink-182; Nightwish; Good Charlotte; Simple Plan
musikfuerrundumdieuhr,24,24,Radiohead; Coldplay; Green Day; Kings of Leon; Red Hot Chili Peppers; Foo Fighters; Arcade Fire; Interpol
po-kraftwerkski,24,24,Daft Punk; Modest Mouse; Kraftwerk; The Human League; Orchestral Manoeuvres in the Dark; Ultravox; And One; Alphaville
poetry,24,24,Björk; Sigur Rós; Los Hermanos; Moby; Yann Tiersen; Tom Waits; Anathema; Antony and the Johnsons
psychill,24,17,Shpongle; Solar Fields; Carbon Based Lifeforms; Vibrasphere; Younger Brother; Ott; Hallucinogen; Aes Dana
smooth jazz,24,21,Sade; Miles Davis; Louis Armstrong; Diana Krall; Madeleine Peyroux; Chet Baker; Melody Gardot; Sonny Rollins
song with samples,24,24,Depeche Mode; Duran Duran; Pet Shop Boys; Moby; The Prodigy; Aphex Twin; Tori Amos; George Michael
abstract,23,23,Explosions in the Sky; Mogwai; Ólafur Arnalds; Jean-Michel Jarre; Four Tet; Godspeed You! Black Emperor; The American Dollar; Claude Debussy
arkadi,23,22,The Beatles; Pink Floyd; Katatonia; Fiona Apple; Sting; Leonard Cohen; Édith Piaf; Ennio Morricone
ballads,23,23,Madonna; Avril Lavigne; Michael Jackson; Metallica; Red Hot Chili Peppers; System of a Down; blink-182; Ashlee Simpson
berep guest dj closedmouth 239645,23,23,Boards of Canada; DJ Shadow; Telefon Tel Aviv; Caribou; Bola; Xploding Plastix; 菅野よう子; Red Snapper
better than lady gaga,23,23,The Beatles; Christina Aguilera; The Cure; David Bowie; Björk; The Rolling Stones; The White Stripes; Cyndi Lauper
chillwave,23,15,Fischerspooner; Toro y Moi; Angelo Badalamenti; Blackbird Blackbird; Lone; Neon Indian; Twin Shadow; Gold Panda
european,23,23,Muse; Radiohead; Coldplay; Blur; t.A.T.u.; Belle and Sebastian; Air; Travis
favourite bands,23,22,Paramore; Radiohead; The Killers; Nirvana; Arctic Monkeys; Red Hot Chili Peppers; Foo Fighters; The Smiths
hand claps,23,23,Lily Allen; Death Cab for Cutie; Beck; M.I.A.; Feist; The Kinks; nevershoutnever!; The Kills
in the witch house family,23,22,Rihanna; Björk; Sigur Rós; Neon Indian; Grouper; 坂本龍一; Twin Shadow; Baths
krautrock,23,15,Kraftwerk; Tangerine Dream; Can; Amon Düül II; Klaus Schulze; Edgar Froese; Michael Rother; Agitation Free
lyricism,23,23,"Madonna; Eminem; Whitney Houston; Nas; Lupe Fiasco; Common; Royce da 5'9""; Talib Kweli"
obscure,23,23,ABBA; The Beach Boys; George Harrison; Glenn Miller; Nat King Cole; The Monkees; Boney M.; The Supremes
punkabilly,23,19,Misfits; HorrorPops; Nekromantix; The Living End; Stray Cats; Zombie Ghost Train; Tiger Army; Calabrese
spanish metal,23,17,Mägo de Oz; Dark Moor; Rata Blanca; Avalanch; Tierra Santa; Barón Rojo; Stravaganzza; Corpore
the songs that make me sick with butterflies,23,23,The Beatles; Pink Floyd; Lily Allen; Foo Fighters; The Smashing Pumpkins; Pixies; Elliott Smith; Animal Collective
warp,23,17,Boards of Canada; Aphex Twin; Autechre; Squarepusher; Prefuse 73; Plaid; ISAN; Battles
1969,22,22,Led Zeppelin; The Rolling Stones; Elvis Presley; The Who; Creedence Clearwater Revival; The Kinks; Fleetwood Mac; Jethro Tull
60's,22,20,The Beatles; Bob Dylan; Elvis Presley; The Beach Boys; Bee Gees; The Jackson 5; The Mamas & The Papas; Roy Orbison
africa,22,21,Vanessa-Mae; Bushido; Steven Halpern; Nass Marrakech; Gnawa Diffusion; King Sunny Ade; Youssou N'Dour; Habib Koité & Bamada
anti-witch house,22,22,Björk; The Beach Boys; Stevie Wonder; Rotting Christ; Pan Sonic; Tobacco; Tommy James & The Shondells; Ben Frost
bad day,22,22,Duran Duran; The Human League; Genesis; Simple Minds; Bryan Adams; Japan; Queensrÿche; Staind
blue,22,22,Regina Spektor; Akira Yamaoka; B.B. King; Howlin' Wolf; John Lee Hooker; Muddy Waters; Robert Johnson; Buddy Guy
death,22,22,David Bowie; The Smiths; The Smashing Pumpkins; New Order; Beck; Tears for Fears; Bright Eyes; Orchestral Manoeuvres in the Dark
demo,22,22,Lady Gaga; Katy Perry; Coldplay; Depeche Mode; The Cure; David Bowie; U2; Panic! At the Disco
depressive black metal,22,16,Johann Sebastian Bach; Burzum; Lifelover; Les Discrets; Nargaroth; ColdWorld; Zeki Müren; Xasthur
es pop mama,22,22,Rihanna; Gwen Stefani; Maroon 5; The Veronicas; Regina Spektor; John Mayer; McFly; Lifehouse
frauen und technik,22,22,Lindsay Lohan; Jessie J; Gossip; Jean-Michel Jarre; Glass Candy; 나르샤; Helalyn Flowers; 이정현
good bands,22,22,Placebo; Nickelback; Slipknot; Megadeth; Nightwish; Korn; Incubus; Good Charlotte
goth rock,22,20,Depeche Mode; The Cure; Joy Division; Siouxsie and the Banshees; Bauhaus; The Sisters of Mercy; The 69 Eyes; Wolfsheim
guitar blues,22,22,Tom Waits; Joe Satriani; Stevie Ray Vaughan; Stevie Ray Vaughan and Double Trouble; Gary Moore; Joe Bonamassa; John Mayall & The Bluesbreakers; Roy Buchanan
in the chillwave family,22,20,Rihanna; Sigur Rós; Joy Division; Massive Attack; The xx; Cut Copy; Madlib; Caribou
melodic metalcore,22,18,Killswitch Engage; As I Lay Dying; Parkway Drive; In This Moment; Haste the Day; Roadrunner United; Blind Witness; Kambodge
neofolk,22,17,Agalloch; Current 93; Death in June; Tenhi; Rome; Omnia; Dernière Volonté; Ordo Rosarius Equilibrio
rhymez,22,20,Ciara; 2Pac; Nas; Snoop Dogg; The Roots; OutKast; Gang Starr; Ice Cube
tech - prog death,22,22,Opeth; Arch Enemy; Death; Mastodon; Dark Tranquillity; Soilwork; Agalloch; Cynic
tron,22,21,Björk; Nine Inch Nails; Aphex Twin; Burial; Devo; AFX; Herbie Hancock; Various Artists
true black metal,22,18,Burzum; Immortal; Marduk; Mayhem; Satyricon; Gorgoroth; Nargaroth; Dark Funeral
under 2000 listeners,22,22,Katy Perry; Avril Lavigne; Glee Cast; Eminem; Justin Bieber; Elvis Presley; Jordin Sparks; Simon Curtis
violin,22,20,Apocalyptica; Emilie Autumn; Andrew Bird; Final Fantasy; Vanessa-Mae; Alexander Rybak; Owen Pallett; Bond
1968,21,21,The Rolling Stones; The Who; Jimi Hendrix; Creedence Clearwater Revival; The Kinks; Simon & Garfunkel; Aretha Franklin; The Byrds
1984 songs,21,21,Depeche Mode; INXS; Gary Numan; Ultravox; Alphaville; Talk Talk; Spandau Ballet; Icehouse
